skill_id,skills,type
0,sql,programming
1,python,programming
2,r,programming
3,c,programming
4,javascript,programming
5,mongodb,programming
6,nosql,programming
7,scala,programming
8,java,programming
9,kotlin,programming
10,mongo,programming
11,c++,programming
12,vba,programming
13,c#,programming
14,matlab,programming
15,elixir,programming
16,go,programming
17,shell,programming
18,html,programming
19,bash,programming
20,perl,programming
21,sas,programming
22,php,programming
23,css,programming
24,julia,programming
25,t-sql,programming
26,solidity,programming
27,powershell,programming
28,crystal,programming
29,no-sql,programming
30,rust,programming
31,visual basic,programming
32,ruby,programming
33,typescript,programming
34,sass,programming
35,vb.net,programming
36,golang,programming
37,swift,programming
38,fortran,programming
39,assembly,programming
40,cobol,programming
41,f#,programming
42,clojure,programming
43,lua,programming
44,objective-c,programming
45,dart,programming
46,groovy,programming
47,delphi,programming
48,haskell,programming
49,ocaml,programming
50,erlang,programming
51,pascal,programming
52,lisp,programming
53,apl,programming
54,sql server,databases
55,postgresql,databases
56,mongodb,databases
57,mysql,databases
58,cassandra,databases
59,redis,databases
60,db2,databases
61,mariadb,databases
62,elasticsearch,databases
63,dynamodb,databases
64,couchbase,databases
65,neo4j,databases
66,firestore,databases
67,firebase,databases
68,sqlite,databases
69,couchdb,databases
70,sqlserver,databases
71,sqlserver,databases
72,oracle,cloud
73,redshift,cloud
74,snowflake,cloud
75,aws,cloud
76,gcp,cloud
77,databricks,cloud
78,azure,cloud
79,bigquery,cloud
80,openstack,cloud
81,vmware,cloud
82,aurora,cloud
83,watson,cloud
84,ibm cloud,cloud
85,colocation,cloud
86,digitalocean,cloud
87,firebase,cloud
88,ovh,cloud
89,heroku,cloud
90,linode,cloud
91,spring,libraries
92,pytorch,libraries
93,tensorflow,libraries
94,spark,libraries
95,hadoop,libraries
96,kafka,libraries
97,airflow,libraries
98,jupyter,libraries
99,scikit-learn,libraries
100,pandas,libraries
101,numpy,libraries
102,keras,libraries
103,react,libraries
104,graphql,libraries
105,opencv,libraries
106,dlib,libraries
107,matplotlib,libraries
108,seaborn,libraries
109,pyspark,libraries
110,gdpr,libraries
111,mxnet,libraries
112,nltk,libraries
113,selenium,libraries
114,xamarin,libraries
115,flutter,libraries
116,ionic,libraries
117,tidyverse,libraries
118,plotly,libraries
119,ggplot2,libraries
120,cordova,libraries
121,dplyr,libraries
122,hugging face,libraries
123,theano,libraries
124,rshiny,libraries
125,mlr,libraries
126,tidyr,libraries
127,qt,libraries
128,electron,libraries
129,shogun,libraries
130,capacitor,libraries
131,huggingface,libraries
132,fann,libraries
133,chainer,libraries
134,gtx,libraries
135,express,webframeworks
136,vue,webframeworks
137,flask,webframeworks
138,node.js,webframeworks
139,jquery,webframeworks
140,phoenix,webframeworks
141,django,webframeworks
142,ruby,webframeworks
143,ruby on rails,webframeworks
144,angular,webframeworks
145,blazor,webframeworks
146,asp.net,webframeworks
147,fastapi,webframeworks
148,node,webframeworks
149,laravel,webframeworks
150,drupal,webframeworks
151,symfony,webframeworks
152,react.js,webframeworks
153,next.js,webframeworks
154,vue.js,webframeworks
155,nuxt.js,webframeworks
156,svelte,webframeworks
157,asp.net core,webframeworks
158,play framework,webframeworks
159,gatsby,webframeworks
160,fastify,webframeworks
161,ember.js,webframeworks
162,angular.js,webframeworks
163,deno,webframeworks
164,linux,os
165,windows,os
166,ubuntu,os
167,unix,os
168,macos,os
169,redhat,os
170,wsl,os
171,centos,os
172,debian,os
173,arch,os
174,kali,os
175,suse,os
176,fedora,os
177,excel,analyst_tools
178,tableau,analyst_tools
179,microstrategy,analyst_tools
180,sap,analyst_tools
181,looker,analyst_tools
182,power bi,analyst_tools
183,alteryx,analyst_tools
184,dax,analyst_tools
185,spreadsheet,analyst_tools
186,visio,analyst_tools
187,qlik,analyst_tools
188,powerpoint,analyst_tools
189,ssis,analyst_tools
190,ssrs,analyst_tools
191,sas,analyst_tools
192,powerbi,analyst_tools
193,spss,analyst_tools
194,sheets,analyst_tools
195,word,analyst_tools
196,cognos,analyst_tools
197,outlook,analyst_tools
198,sharepoint,analyst_tools
199,splunk,analyst_tools
200,ms access,analyst_tools
201,datarobot,analyst_tools
202,nuix,analyst_tools
203,powerbi,analyst_tools
204,esquisse,analyst_tools
205,flow,other
206,atlassian,other
207,github,other
208,terraform,other
209,git,other
210,docker,other
211,jenkins,other
212,kubernetes,other
213,ansible,other
214,gitlab,other
215,terminal,other
216,unity,other
217,npm,other
218,pulumi,other
219,yarn,other
220,puppet,other
221,chef,other
222,bitbucket,other
223,unreal,other
224,svn,other
225,codecommit,other
226,homebrew,other
227,jira,async
228,confluence,async
229,smartsheet,async
230,asana,async
231,notion,async
232,clickup,async
233,monday.com,async
234,trello,async
235,planner,async
236,airtable,async
237,workfront,async
238,wrike,async
239,dingtalk,async
240,microsoft lists,async
241,workzone,async
242,swit,async
243,twilio,sync
244,wire,sync
245,zoom,sync
246,microsoft teams,sync
247,ringcentral,sync
248,slack,sync
249,unify,sync
250,webex,sync
251,symphony,sync
252,mattermost,sync
253,google chat,sync
